Date,2yr - AG,3yr - AG,5yr - AG,10yr,Indexed,3yr - NSW,5yr - NSW,10yr - NSW,In RBA 3dWindow,In RBA 5dWindow,In RBA 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,US10yr,US10yr Change,RBA 10yr - 3dWindow Change,RBA 10yr - 5dWindow Change,RBA 10yr - 7dWindow Change,RBA 10yr - Outside 3dWindow Change,RBA 10yr - Outside 5dWindow Change,RBA 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change
1999-10-21,6.02,6.2,6.42,6.71,3.74,6.528416970802919,6.774555921052632,7.04,False,False,False,False,False,False,-0.020000000000000462,6.605,0.02940000000000076,0.0,0.0,0.0,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,0.0,0.0,0.0,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462
1999-10-22,6.05,6.24,6.47,6.77,3.77,6.574481751824818,6.827151315789473,7.1005,False,False,False,False,False,False,0.05999999999999961,6.5981,-0.006900000000000794,0.0,0.0,0.0,0.05999999999999961,0.05999999999999961,0.05999999999999961,0.0,0.0,0.0,0.05999999999999961,0.05999999999999961,0.05999999999999961
1999-10-25,6.05,6.23,6.45,6.75,3.77,6.560852189781022,6.806121710526316,7.072,False,False,False,False,False,False,-0.019999999999999574,6.601,0.0029000000000003467,0.0,0.0,0.0,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574,0.0,0.0,0.0,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574
1999-10-26,6.12,6.3,6.52,6.81,3.79,6.622390510948906,6.870303947368421,7.1305,False,False,False,False,False,False,0.05999999999999961,6.6169,0.015900000000000247,0.0,0.0,0.0,0.05999999999999961,0.05999999999999961,0.05999999999999961,0.0,0.0,0.0,0.05999999999999961,0.05999999999999961,0.05999999999999961
1999-10-27,6.19,6.37,6.59,6.87,3.81,6.694464416058394,6.937018421052631,7.195,False,False,False,False,False,False,0.0600000000000005,6.5498,-0.06709999999999994,0.0,0.0,0.0,0.0600000000000005,0.0600000000000005,0.0600000000000005,0.0,0.0,0.0,0.0600000000000005,0.0600000000000005,0.0600000000000005
1999-10-28,6.0,6.19,6.41,6.73,3.74,6.494892335766424,6.755763157894737,7.041,False,False,False,False,False,False,-0.13999999999999968,6.4594,-0.0904000000000007,0.0,0.0,0.0,-0.13999999999999968,-0.13999999999999968,-0.13999999999999968,0.0,0.0,0.0,-0.13999999999999968,-0.13999999999999968,-0.13999999999999968
1999-10-29,5.89,6.08,6.31,6.63,3.69,6.381593065693431,6.6477375,6.931,False,False,False,False,False,False,-0.10000000000000053,6.3354,-0.12399999999999967,0.0,0.0,0.0,-0.10000000000000053,-0.10000000000000053,-0.10000000000000053,0.0,0.0,0.0,-0.10000000000000053,-0.10000000000000053,-0.10000000000000053
1999-11-01,5.98,6.15,6.37,6.67,3.7,6.449695255474452,6.701578947368421,6.968500000000001,False,True,True,False,False,False,0.040000000000000036,6.3718,0.03640000000000043,0.0,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.040000000000000036,0.040000000000000036
1999-11-02,5.92,6.1,6.31,6.59,3.68,6.396455291970803,6.639909210526316,6.8875,True,True,True,False,False,False,-0.08000000000000007,6.3331,-0.0387000000000004,-0.08000000000000007,-0.08000000000000007,-0.08000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,-0.08000000000000007,-0.08000000000000007,-0.08000000000000007
1999-11-03,5.98,6.16,6.37,6.63,3.69,6.445558394160584,6.687727631578947,6.9239999999999995,True,True,True,False,False,False,0.040000000000000036,6.321,-0.012100000000000222,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.040000000000000036,0.040000000000000036
