"Date","Price","Open","High","Low","Vol.","Change %"
"01/06/1999","1.5110","1.5128","1.5132","1.5020","","-0.10%"
"01/05/1999","1.5125","1.5274","1.5298","1.5115","","-0.95%"
"01/04/1999","1.5270","1.5315","1.5359","1.5230","","-0.23%"
"12/31/1998","1.5305","1.5488","1.5494","1.5285","","-1.18%"
"12/30/1998","1.5487","1.5520","1.5525","1.5480","","-0.17%"
"12/29/1998","1.5513","1.5514","1.5529","1.5463","","-0.03%"
"12/28/1998","1.5518","1.5505","1.5527","1.5485","","0.02%"
"12/25/1998","1.5515","1.5515","1.5515","1.5515","","0.10%"
"12/24/1998","1.5500","1.5505","1.5530","1.5495","","-0.13%"
"12/23/1998","1.5520","1.5535","1.5541","1.5495","","-0.07%"
"12/22/1998","1.5531","1.5510","1.5544","1.5485","","0.17%"
"12/21/1998","1.5505","1.5450","1.5523","1.5449","","0.42%"
"12/18/1998","1.5440","1.5430","1.5451","1.5397","","0.10%"
"12/17/1998","1.5425","1.5393","1.5450","1.5367","","0.21%"
"12/16/1998","1.5392","1.5421","1.5428","1.5364","","-0.15%"
"12/15/1998","1.5415","1.5417","1.5428","1.5400","","0.03%"
"12/14/1998","1.5410","1.5400","1.5428","1.5370","","-0.06%"
"12/11/1998","1.5420","1.5403","1.5455","1.5385","","0.13%"
"12/10/1998","1.5400","1.5403","1.5435","1.5355","","-0.03%"
"12/09/1998","1.5405","1.5444","1.5470","1.5395","","-0.25%"
"12/08/1998","1.5443","1.5385","1.5460","1.5360","","0.36%"
"12/07/1998","1.5387","1.5339","1.5395","1.5327","","0.27%"
"12/04/1998","1.5345","1.5390","1.5395","1.5255","","-0.24%"
"12/03/1998","1.5382","1.5325","1.5397","1.5314","","0.37%"
"12/02/1998","1.5325","1.5308","1.5395","1.5284","","0.07%"
"12/01/1998","1.5315","1.5347","1.5361","1.5195","","-0.10%"
"11/30/1998","1.5330","1.5338","1.5372","1.5205","","-0.08%"
"11/27/1998","1.5343","1.5382","1.5398","1.5313","","-0.29%"
"11/26/1998","1.5388","1.5395","1.5415","1.5193","","-0.01%"
"11/25/1998","1.5390","1.5507","1.5513","1.5365","","-0.77%"
"11/24/1998","1.5509","1.5491","1.5525","1.5473","","0.09%"
"11/23/1998","1.5495","1.5465","1.5501","1.5445","","0.13%"
"11/20/1998","1.5475","1.5489","1.5489","1.5428","","-0.11%"
"11/19/1998","1.5492","1.5530","1.5540","1.5465","","-0.23%"
"11/18/1998","1.5528","1.5465","1.5561","1.5445","","0.37%"
"11/17/1998","1.5470","1.5515","1.5551","1.5457","","-0.26%"
"11/16/1998","1.5510","1.5500","1.5575","1.5450","","0.10%"
"11/13/1998","1.5495","1.5445","1.5535","1.5431","","0.23%"
"11/12/1998","1.5460","1.5453","1.5520","1.5440","","0.05%"
"11/11/1998","1.5453","1.5448","1.5477","1.5415","","0.08%"
"11/10/1998","1.5440","1.5340","1.5475","1.5338","","0.54%"
"11/09/1998","1.5357","1.5325","1.5375","1.5311","","0.18%"
"11/06/1998","1.5330","1.5238","1.5350","1.5199","","0.58%"
"11/05/1998","1.5242","1.5199","1.5252","1.5168","","0.31%"
"11/04/1998","1.5195","1.5247","1.5285","1.5170","","-0.33%"
"11/03/1998","1.5245","1.5325","1.5329","1.5220","","-0.55%"
