Date,Price,Open,High,Low,Vol.,Change %,Spread
2017-05-16,1.3465,1.3489,1.3524,1.3438,,-0.19%,0.005423510524737245
2017-05-15,1.349,1.3526,1.3539,1.3425,,-0.36%,0.005157982318260164
2017-05-12,1.3539,1.3552,1.3572,1.347,,-0.10%,0.0010661126773651025
2017-05-11,1.3552,1.3573,1.3644,1.354,,-0.14%,0.0
2017-05-10,1.3571,1.3625,1.3636,1.3525,,-0.32%,0.005881246118697265
2017-05-09,1.3615,1.3537,1.3645,1.351,,0.58%,0.007069461272072278
2017-05-08,1.3537,1.3481,1.3556,1.3463,,0.46%,0.0
2017-05-05,1.3475,1.3497,1.3579,1.3461,,-0.16%,0.0057655182025236566
2017-05-04,1.3497,1.3472,1.3545,1.3452,,0.19%,0.004159239063453185
2017-05-03,1.3472,1.3262,1.3477,1.3247,,1.52%,0.0
2017-05-02,1.327,1.3283,1.3316,1.323,,-0.14%,0.0
2017-05-01,1.3288,1.3399,1.3399,1.3257,,-0.49%,0.0
2017-04-28,1.3354,1.3384,1.3434,1.3343,,-0.32%,0.0
2017-04-27,1.3397,1.3386,1.3447,1.3347,,0.13%,0.005627924332163132
2017-04-26,1.3379,1.3276,1.342,1.3239,,0.81%,0.0
2017-04-25,1.3271,1.3201,1.3296,1.3196,,0.47%,0.0
2017-04-24,1.3209,1.3188,1.3272,1.3173,,-0.36%,0.003231968259820283
2017-04-21,1.3257,1.3283,1.3307,1.3243,,-0.21%,0.0
2017-04-20,1.3285,1.3338,1.3348,1.3244,,-0.40%,0.0031165071185173246
2017-04-19,1.3338,1.3223,1.3352,1.3221,,0.84%,0.006580790500368458
2017-04-18,1.3227,1.3181,1.3272,1.3159,,0.39%,0.0
2017-04-17,1.3175,1.3212,1.3215,1.3139,,-0.17%,0.0005851118479971231
2017-04-14,1.3198,1.3219,1.324,1.3186,,-0.11%,0.0
2017-04-13,1.3213,1.3294,1.33,1.316,,-0.62%,0.0018390864393898333
2017-04-12,1.3296,1.3332,1.3382,1.3275,,-0.29%,0.0
2017-04-11,1.3335,1.3332,1.338,1.3302,,0.02%,0.004595160899418992
2017-04-10,1.3332,1.3323,1.3381,1.3316,,-0.02%,0.004073964327380274
2017-04-07,1.3334,1.326,1.335,1.3246,,0.62%,0.0
2017-04-06,1.3252,1.321,1.3277,1.3191,,0.32%,0.0
2017-04-05,1.321,1.3224,1.3233,1.3179,,-0.06%,0.0006502259339364692
2017-04-04,1.3218,1.3146,1.3256,1.3129,,0.52%,0.0020096907073654195
2017-04-03,1.315,1.3116,1.318,1.3088,,0.31%,0.0
2017-03-31,1.3109,1.3087,1.3117,1.3042,,0.16%,0.0
2017-03-30,1.3088,1.3039,1.3091,1.3015,,0.38%,0.0008822429856205678
2017-03-29,1.3038,1.3101,1.3108,1.3026,,-0.47%,0.003477043158519977
2017-03-28,1.3099,1.3127,1.318,1.3058,,-0.21%,0.0
2017-03-27,1.3127,1.3121,1.3149,1.3072,,0.05%,0.004102583314949354
2017-03-24,1.312,1.3112,1.3151,1.3082,,0.08%,0.004488942184598437
2017-03-23,1.311,1.3026,1.3119,1.3015,,0.65%,0.0
2017-03-22,1.3025,1.3005,1.3093,1.3,,0.18%,0.0037959998675021088
2017-03-21,1.3002,1.293,1.3015,1.2898,,0.51%,0.0
2017-03-20,1.2936,1.2975,1.3009,1.2901,,-0.35%,0.007869691807665084
2017-03-17,1.2981,1.3037,1.3061,1.2961,,-0.34%,0.0
2017-03-16,1.3025,1.2968,1.3049,1.2953,,0.42%,0.005685244902628026
2017-03-15,1.2971,1.323,1.3239,1.2949,,-1.95%,0.0028933504716353413
2017-03-14,1.3229,1.321,1.3265,1.3189,,0.15%,0.0
2017-03-13,1.3209,1.3262,1.3277,1.3169,,-0.38%,0.004390487189237577
2017-03-10,1.3259,1.3324,1.3338,1.323,,-0.48%,0.0
2017-03-09,1.3323,1.3284,1.3351,1.3267,,0.29%,0.0028684156205067697
2017-03-08,1.3285,1.3176,1.3289,1.3136,,0.80%,0.0
2017-03-07,1.3179,1.3198,1.3205,1.3103,,-0.12%,0.0
2017-03-06,1.3195,1.319,1.3214,1.3139,,0.22%,0.002857208285638807
2017-03-03,1.3166,1.3202,1.3258,1.316,,-0.31%,0.0008084576175087535
2017-03-02,1.3207,1.3025,1.3233,1.3011,,1.40%,0.0
2017-03-01,1.3025,1.3059,1.3095,1.2981,,-0.25%,0.0
2017-02-28,1.3058,1.3031,1.3078,1.2991,,0.20%,0.00544747327067655
2017-02-27,1.3032,1.3038,1.3052,1.2971,,0.00%,0.002201296004809382
2017-02-24,1.3032,1.2966,1.3054,1.2954,,0.55%,0.005320803747736553
2017-02-23,1.2961,1.2983,1.3049,1.2916,,-0.16%,0.005267707837763407
2017-02-22,1.2982,1.3026,1.3043,1.2957,,-0.35%,0.004708400590637669
2017-02-21,1.3028,1.3,1.3074,1.2996,,0.17%,0.0
2017-02-20,1.3006,1.3041,1.306,1.2999,,-0.22%,0.003896090100104163
2017-02-17,1.3035,1.2999,1.3067,1.2961,,0.28%,0.0030168582069479265
2017-02-16,1.2998,1.2973,1.3018,1.2931,,0.21%,0.00021185085253358076
2017-02-15,1.2971,1.3052,1.3097,1.2949,,-0.59%,0.0010615911548986212
2017-02-14,1.3048,1.3093,1.3132,1.2992,,-0.32%,0.003834213469538504
2017-02-13,1.309,1.3016,1.3106,1.3005,,0.48%,0.006036278540649453
2017-02-10,1.3028,1.3127,1.3135,1.3009,,-0.66%,0.0058256634546519125
2017-02-09,1.3115,1.3083,1.3143,1.3045,,0.26%,0.004721373161749573
2017-02-08,1.3081,1.3109,1.3138,1.3037,,-0.26%,0.0064040698110241845
2017-02-07,1.3115,1.3054,1.3148,1.3013,,0.46%,0.006195454098887244
2017-02-06,1.3055,1.3033,1.3111,1.2999,,0.31%,0.004885573311458828
2017-02-03,1.3015,1.3058,1.3123,1.2988,,-0.34%,0.007473264307833733
2017-02-02,1.3059,1.3179,1.32,1.2989,,-0.94%,0.007135189453601386
2017-02-01,1.3183,1.3184,1.3246,1.3158,,0.00%,0.0
2017-01-31,1.3183,1.3238,1.326,1.3142,,-0.40%,0.005339493557220804
2017-01-30,1.3236,1.3258,1.3291,1.3214,,-0.05%,0.0
2017-01-27,1.3242,1.3274,1.3319,1.3208,,-0.23%,0.004391939103682281
2017-01-26,1.3272,1.3202,1.3296,1.3176,,0.51%,0.0037269597960359123
